Author	Contribution Entry	Column	Year	Issue
Shapiro, Karl	1135 Polní pošta - Transportní vlak - Universita- Washingtonská katedrála - Má babička - Poprvé - Intelektuál - Polibek (z cyklu Adam a Eva) - Báseň k narozeninám. (Básně.) Z angličtiny přeložil Vojtěch Jestřáb. Ilustroval Václav Mergl. 5/2, str. 201-217. - Úvodní poznámka s fotografií autora.	English	1960	2
Shelley, Percy Bysshe	1136 Básníci jsou trubky, které zpívají v bitvách. Básníci jsou neuznávaní zákonodárci světa. (Citát.) Přeloženo z angličtiny. 1 /3, str. 5.	English		
Shute, Nevil	On the Beach (Na břehu). Recenze s ukázkami. Viz zázn. 552.			
Schaff, Adam	1137 Filosofie člověka. (Úryvky ze stejnojmenné knihy.) O smyslu života - Svoboda a historická nutnost - O morální odpovědnosti. Z polštiny přeložil Antonín Měšťan. 9/2, str. 154-170. - Předchází stať Otakara Bartoše o Schaffově práci Filosofie člověka.	Polish	1964	2
Schagen, J. C. van Ukázka z d{la. Viz zázn. 651.				
Schejbal, Jaroslav	1138 Budd Schulberg: V newyorských docích. Román. Recenze s ukázkami. 2/6, str. 209-220. - Fotografie B. Schulberga.		1957	6
Schejbal, Jaroslav	1139 Historické dilemma Sherwooda Andersona. (Literárně kritická studie.) 2/4, str. 27-34. - Kreslený portrét Sherwooda Andersona.		1957	4
Schejbal, Jaroslav	1140 Nad poslednlm romdnem Johna Steinbecka (The Winter of Our Discontent, London, Heinemann 1961). Recenze s ukázkami. 7/5, str. 221-231. - S fotografii autora.		1962	5
Schejbal, Jaroslav	1141 Smysl pro povinnost v dlle Grahama Greena. (Studie.) 2/1, str. 150-159. - Fotografie Grahama Greena.		1957	
Scherfig, Hans	1142 Butler. (Povídka.) Z dánštiny přeložil František Frohlich. Kresba Hermíny Melicharové. 3/2, str. 132-136. - Předchází studie L. P. R0mhilda Pohled na modernl dánskou literaturu.	Danish	1958	2
Scherfig, Hans	1143 Knihy dokdžf přimět lidi k pldči nebo k smlchu ... (Citát.) Z dánštiny přeložil František Frohlich. 3/2, str. 124.	Danish	1958	2
Scherman, David E. - Redlich, Rosemarie	Literary America, A Chronicle of American Writers from 1607 to 1952 with 170 Photographs of the American Scene that lnspired Them (Literdrnf Amerika). Recenze s ukázkami. Viz zázn. 488.			
Schnurre, Wolfdietrich	1144 Pldcek - Tenkrdt s Richardem - Manévry - Osud na!íeho města - Bajky. (Povídky.) Z němčiny přeíožil Jiří Janovský. Ilustroval Kamil Lhoták. 6/1, str. 75-97.	German	1961	1
Schulberg, Budd	Waterfront (V newyorských docích). Recenze s ukázkami. Viz zázn. 1138.			
Schulthess, Emil	Ukdzka z díla. Viz zázn. 296.			
Schulz, Bruno	1145 Traktdt o manekýnech - Skořicové krdmy: (Prózy.) Z polštiny přeložila Hana Jechová. Kresby Bruna Schulze. 8/5, str. 114-127.	Polish	1963	5
Schumacher, Ernst	Německo 1946 - Soumračno pod modrou oblohou - Letní odpoledne. (Básně.) Viz zázn. 1193.			
Sibrtovó, Stóňa	1146 Vladimir Solouchin: Vladimirské po/nf cesty. (Cyklus črt.) Recenze s ukázkami. 4/4, str. 219-229.		1959	4
Siebenschein, Hugo	"1147 O německé baladě. (K vydání výboru z německých balad „Deutsche Balladen von Burger bis Brecht"", vydali K. H. Berger a W. Piischel v nakladatelství Neues Leben 1958.) Ukázky přeložil Jindřich Pokorný. 6/1, str. 223-228. Ukázky: Bertolt Brecht: Legendo o mrtvém vojákovi - Kubo: Myší bolada - Paul Wiens: Balada o Janu Kohlhasovi - Erich Weinert: Vělný poutník - Erich Kastner: Krtci neboli Bud vůle vaše."		1961	1
Siebenschein, Hugo	1148 Poslednl setkdnl s Tomdšem Mannem. (Vzpomínka.) 1/2, str. 175-176. - Následuje přednáška Thomase Manna Promluva v Schillerově roce 1955.		1956	2
Siebenschein, Hugo	1149 Pfátelum a ctitelum Thomase Manna. (Výzva veřejnosti k zapůjčení dokumentačního materiálu o Thomasi Mannovi.) 1 /2, str. 189.			
Sigurdsson, Ólafur Jóhann	1150 Visacl zámek. (Povídka.) Z islandštiny přeložila Helena Kadečková. 7 /3, str. 126--135. 1 obr.	Icelandic		
SIiiitoe, Alan	1151 Hadrdfova céra. (Povídka.) Z angličtiny přeložil a poznámku o autorovi pod čarou napsal Petr Pujman. Ilustroval Jiří John. 9/2, str. 1-16. - Fotografie autora.	English	1964	2
SIiiitoe, Alan	1152 Osamělost pfespolnlho běžce. (Novela.) Z angličtiny přeložil a úvod napsal Josef Škvorecký. Ilustroval Radim Malát. 6/2, str. 118-146. - Fotografie autora.	English	1961	2
Simenon, Georges	1153 Chudáka by nikdo nezavraždil. (Povídka.) Z francouzštiny přeložila Jarmila Fialová. Ilustroval Svatopluk Pitra. 7/5, str. 238-256. - S charakteristikou autora a jeho fotografií od Yvese Debraina.	French	1962	5
Siné, Maurice	1154 Nádherná oblaka. Nový román F. Saganové, jak ho vidí			
Siné. Přeložila A. H. (= Alena Hartmanová). 7/2, str. 210-211. Ukázky kreseb. Viz zázn. 1134.				
Singer, Jizchok Baševis	1155 Ševčlci. (Povídka.) Z povídkového výboru Gimpel the Fool z angličtiny přeložil Jakub Markovič . 7/4, str. 162 až 172. - Ediční poznámka.	English	1962	4
Siskind, Aaron	Ukdzka z díla. Viz zázn. 296.			
Sjezd	1156 3. sjezd sovětských spisovatelů. Poselství ÚV KSSS, projevy N. S. Chruščova, K. A. Fedina, Alexandra Tvardovského, Alexandra Čakovského. Přeloženo z ruštiny. 4/5, str. 192-218. - Úvodní poznámka redakce.	Russian	1959	5
Skopec, Rudolf	1157 Fotografický přístroj ... (Poznámka k uveřejněným ukázkám z mikrofotografie a makrofotografie.) 5/5, str. 29, 64, 87, 120, 127, obálka s. 3.		1960	5
Skopec, Rudolf	1158 První jména v dějindch umělecké fotografie. (Studie s ukázkami.) 4/4, str. 12~129. 1 obr. Nadar: F. Coppée, Eug ene Delacroix, George Sandová, Charles Baudelaire - Alvin Langdon Coburn : W. B. Yeats. G. K. Chester• ton - E. Steichen: Auguste Rodin, George Bernard Shaw - Melandri: Sarah Bernhardtová - D'Ora: Anna Pavlova - Julia Margaret Cameronová: Henry Longfellow - Neznámý autor: Honoré de Balzac.		1959	4
Skoumal, Aloys	1159 Listy z mého anglického deníku 1947-1950. Postřehy a povzdechy. 1/3, str. 209-212. 1 obr.	English	1956	3
Slabý, Z. K.	"1160 Malý rozhovor s Alexejem Nikolajevičem Tolstým. Ukázky z knihy A. N. Tolstého „O literatuře"", Praha, Čs. spisovatel 1956, spojené textem Z. K. Slabého. 1/3, str. 247 až 249."		1956	3
Slabý, Z. K.	1161 Románový cyklus z druhé světové vdlky. Recenze šestidílného románu Bély Illése Země vykoupená. 1/1, str. 247-250.		1956	
Slovniček	"1162 Slovníček autorú. (Stručné biografické poznámky o autorech, z jejichž děl jsou vybrány ukázky v tomto čísle pod souborným názvem „Dvacet a jedna"": Dino Buzzati, Albert Camus, Arthur C. Clarke, Stig Dagerman, Tibor Déry, Brian Friel, Rid Gračov , Jevhen Hucalo, JarosJaw Iwaszkiewicz, Shirley Jackson, Emmanuil Kazakevič, Ranko Marinkovié, Victor Mora, José Cardoso Pires, Emanuel Robles, Félix Pita Rodriguez, George Saiko, José Martinez Sotomayor, Martin Walser, Tennessee Williams.) 9/6, str. 156."		1964	6
Slovniček	"1163 Slovníček autorú. (Stručné biografické poznámky o auto• rech, z jejichž děl jsou vybrány ukázky v tomto čísle pod souborným názvem „17 mladých prozaiků, 16 mladých básníků , 33 mladých autorů"" : Alberto Arbasino, Antón Arrufat, John Ashbery, Filip David, Harry Fainlight, Freydoun Farokhzad, Alfrede Giuliani, Fridrich Gorenštejn, Aidan Higgins, Luis Bernarde Honwana, Antti Hyry, Hireši lwata, Bernd Jentzsch, lhor Kalynec, lnna Kašeževová, Vojislav Kuzmanovié, J. M. G. Le Clézio, Viktor Lichonosov, Lucio Muniz, Tadeusz Nowak, Herberte Padilla, Raphael Pividal, Marcelin Pleynet, John Rechy, Denis Roche, Klaus Roehler, Jarostaw Marek Rymkiewicz, (zet Sarajlié, Peter Seeberg, Olžas Sulejmenov, Nevzat 0stun, Mihály Váci a Curtis Zahn.) 10/6, str. 132-134."		1965	6
Smati, Sejk	Důvěrný vzkaz. (Báseň .) Viz zázn. 259.			
Smutný, Pavel viz Leff, David				
Sodergran, Edith	Den chladne - Měsíc. (Básně.) Viz zázn. 1241 .			
Soderholm, Kerstin	Básník - Bezejmenní. (Básně .) Viz zázn. 1241 .			
Sollers, Philippe	1164 Podivná samota. (Novela.) Z francouzštiny přelož il Miroslav Jirda. Titulní kresba Oty Janečka. Poznámka o autorovi : Marcel Aymonin. 5/3, str. 84-131.- Fotografie autora.	French	1960	3
Solouchin, Vladimir Aleksejevič	1165 Umění je paměť lidstva. (Citát.) Přeloženo z ruštiny. 4/4, str. 229. Vladimirské po/nf cesty. Recenze s ukázkami. Viz zázn. 1146.	Russian	1959	4
Solženicyn, Aleksandr	1166 Pffpad na stanici Krečetovka - Matrjonina chalupa. (Povídky.) Z ruštiny přeložila Anna Nováková. Ilustroval František Janula. Stať o autorovi napsala Ludmila Dušková. 8/5, str. 35-83. - Fotografie autora.	Russian	1963	5
S•nderby, Knud	1167 BUý hloh - Smuteční buk. (Povídky.) Z dánštiny přelofil František Frohlich. Kresby Vladimíra Fuky. 3/2, str. 159-166. - Předchází stať L. P. R0mhilda Pohled na moderní dánskou literaturu.	Danish	1958	2
S111rensen, Vilty	1168 Vražda. Kafkovská idyla. (Povídka.) Z dánštiny přelofil a úvodní poznámku napsal Jan Hendrych. Ilustroval Jiří Jirásek. 8/4,str.174-194.-Villy S0rensen v karikatuře Ejlera Kraga.	Danish	1963	4
Sotomayor, José Martínez	1169 Tympánista. (Povídka.) Ze španělštiny přeložil Jiř í Pechar. 9/6, str. 130-132. - Vychází pod společným názvem Dvacet a jedna a se slovníčkem autorů .	Spanish	1964	6
Soufek, Ludvik	1170 Brassai' aneb cesta od složitosti k prostotě. K ukázkám z Brassaiovy fotografické tvorby. 7/1, str. 113, 149, 176,177, 188-191.		1962	1
Stadler, Ernst	1171 Slova - Blázinec - Noční jlzda po kollnském mostě přes Rýn. (Básně.) Z němčiny přeložil Ludvík Kundera. B/2, str. 161-162.	German		
Staff, Leopold	1172 Z básnické tvorby Leopolda Staffa. Z polštiny přeložily Vlasta Dvořáčková a Hana Jechová.1/3, str.169-171.Úvodní stať o autorovi. Most- Zpožd ěnému -Základy-Chvíle -Hi města-MěsícVodnl řasy - Mickiewiczův pomník -Mlr-Sovl smích - Problémy - Č:as od fosu.	Polish	1956	3
Stachura, Edward	1173 Plynuti času - Střežte mě, milé červánky. (Povídky.) První povídku přeložila z polštiny Helena Teigová, druhou Helena Stachová. Životopisnou poznámku napsal J. V. (= Josef Valášek). 10/5, str. 71-80. - Fotografie autora.	Polish	1965	5
Stanev, Emilijan	1174 Jarnl touhy- Vlči noci. (Povídky.) Z bulharštiny přeložila Irena Wenigová. Ilustrovala Gabriela Dubská. Úvodní poznámku napsal Zdeněk Urban. 4/4, str. 198-206.	Bulgarian	1959	4
Stefánsson, Halldór	1175 Sen na prodej. (Povídka.) Z islandštiny přeložila Helena Kadečková. 7/3, str.146---151.1 obr.	Icelandic	1962	3
Steichen, Edward	Ukázky z dl/a. Viz zázn. 1352.			
Steinbeck, John	East of Eden (Na plechárně). Recenze s ukázkami. Viz zázn. 431.			
Steinbeck, John	1176 Na plechárně. (Román.) Z angličtiny přeložila Zdenka Wattersonová. Překlad revidoval Jaroslav Schejbal. Ilustroval Antonín Pelc. 3/1, str. 2-35; 3/2, str. 50-90. 11n Odjakživa jsem byl rozhněvaným mladým mužem ... - Každý člověk ať je mladý nebo ne ... (Dva citáty.) Přeloženo z angličtiny . 4/6, str. 54.	English	1958	1
Steinbeck, John	1178 Osamělost. Povídka. Z angličtiny přeložil František Jungwirth. 1/4, str. 88-92. - Poznámka s fotografií autora od Yousifa Karshe.	English	1956	4
Steinbeck, John	1179 Spisovatel se musí rozhodnout. (Citát.) Přeloženo z angličtiny. 1 /5, str. 206.	English		
Steinbeck, John	The Winter of Our Discontent. Recenze s ukázkami. Viz zázn. 1140.			
Steinberg, Saul	Kreslené vtipy. Viz zázn. 649.			
Steinberg, Saul	1180 Reprodukce kreseb. 1 /3, str. 6, 44, 80, 124, 168, 194, 225.			
Steinberg, Saul	1181 Ukázky z nové knihy kreseb Labyrinth. 6/6, str. 41, 42, 78, 112, 118, 222, 226-227, 234-235, 256.		1961	6
Steinhouse, Herbert	Když vládnou modly. Recenze s ukázkami, Viz zázn. 220.			
Stern, Anatol	Tajemství básníka. Recenze s ukázkami. Viz zázn. 754.			
Sterne, Laurence	1182 livot a názory pana Tristrama Shandyho. (Román.) Z angličtiny přeložil Aloys Skoumal. Ilustrace George Cruikshanka. 5/2, str. 240-256; 5/3, str. 240-256; 5/4, str. 238-255; 5/5, str. 216-256; 5/6, str. 238-253;6/1, str. 248-256; 6/2, str. 236-256; 6/3, str. 228-256;  6/4, str. 232-256; 6/5, str. 234-256; 6/6, str. 237-256. - Úvodní poznámka.	English	1960	2
Stevens, Wallace	Adagia. (Báseň.) Viz zázn. 768.			
Stevens, Wallace	"1183 Pro sebe na hoboji. (Básně.) Z angličtiny přeložila Jiřina Hauková. Stať „Nejnepopsatelnější básník (Wallace Stevens, 1878-1955)"" napsal Zdeněk Vančura. 10/5, str. 60-70. - Fotografie autora. Králík jako král duchů - Člověk ve sněhu -Třináct pohledů na kosa - Nadvláda černě - Smrt vojáka - Ani pečínka, ani polívka, ani zemáky - Pro sebe na hoboji - Lidské uspořádání - Dům byl tichý a svět byl klidný - Prázdno v parku - Skála."	English	1965	5
Stewart, Margaret	"1184 Marjorie Morningstarová a její „revolučnost"". Recenze románu Hermana Wouka „Marjorie Morningstar"". Z angličtiny přeložily E. E. ( = Eva Masnerová a Eva Kondrysová). 1/3, str. 233-239. 2 fot. - Fotografie obálky recenzované knihy."	English	1956	3
Stil, André	1185 Jeden pokažený svět ... jedna Saganová. (Poznámky k dílu Fran~oise Saganové.) Z francouzštiny přeložila ER. (=Eva Ruxová). 5/1, str. 221-224. - Kreslený portrét F. Saganové od Henri ho Crespiho. Přetištěno z L'Humanité 1959.	French	1960	1
Stil, André	1186 Ptdci. (Povídka.) Z francouzštiny přeložila Alena Novotná. Kresba Oty Janečka. 6/3, str. 207-211.	French	1961	3
Stivens, Dal	1187 Kamendč Bill. (Povídka.) Z angličtiny přeložil Stanislav Mareš. Ilustrace H. J. Rothe. 3/3, str. 51-54. - Vyšlo pod souhrnným názvem Příběhy z Austrálie.	English	1958	3
Stock, Dennis	Ukdzka z dl/a. Viz zázn. 296.			
Straka, Josef viz Einšpigel, Oldřich				
Strittmatter, Erwin Der Wundertiiter (Divotvorce). Recenze s ukázkami. Viz zázn. 555.				
Sti'íbrný, Zdeněk	1188 Zda žil či nežil? (Na okraj knihy Williama a Elizabeth Friedmanových The Shakespearean Ciphers Examined, Cambridge University Press, 1957.) 4/2, str. 236-240. 3 obr. - Fotografie recenzované knihy a fotografie jejich autorů.		1959	2
Stuart, Jesse	1169 Ldska. (Povídka.) Z angličtiny přeložil Jaroslav Schejbal. Ilustroval Jiří Hadlač . 4/6, str. 77-79. - Poznámka.	English	1959	6
Sulejmenov, Olžas	1190 Rudý jezdec a černý jezdec. Báseň ze sbírky V tomto dobrém čase Východu. Z ruštiny přeložil Vladimír Smetáček. 10/6, str. 120-122. - Vychází pod společným názvem 17 mladých prozaiků, 16 mladých básníků, 33 mladých autorů a se slovníčkem spisovatelů.	Russian	1965	6
Sus, Oleg	1191 Referent úrazové pojišťovny Franz Kafka. (Stať o významu zaměstnání v literární činnosti F. Kafky a o pracích Klause Hermsdorfa o F. Kafkovi .) 5/4, str. 231-232.		1960	4
Svědectví	1192 Svědectví statečných . Z ankety časopisu Les Lettres fran~ aises. Ukázky odpovědí španělských spisovatelů na položené čtyři otázky. Odpovídají: Camilo José Cela, José Manuel Caballero-Bonald, Luis Romero, Alfonso Grosso, Maria Aurelia Campany, Josep Maria Espinas, Antonio Ferres, José Corrales Egea, Armando López Salinas, Luis Goytisolo-Gay, Juan Garda Hortelano. Z francouzštiny přeložila Alžběta Bendová. 8/1, str. 233-243. - Stručné biografické údaje s fotografiemi autorů.	French	1963	1
Svět	1193 Svět vstoupivší k nám do prázdné hodiny. (Výbor ze současné německé poezie.) Vybral, přeložil o komentoval Ludvík Kundero. 6/4, str. 62-87. -S charakteristikami o fotografiemi autorů. Paul Celan : Fuga smrti, Záře , Večer slov, Svět-Johannes Bobrow~ ski: Kaunas 1941, Domov malíře Chagalla, Ptačí cesty 1957 - Peter Huchel: Silnice. Silnice, Vzpomínka - Ernst Schumacher: Německo 1946, Soumračno pod modrou oblohou , Letní odpoledne - Nelly Sachsová: Čísla, Vám, kdož stavíte nový dúm, Odvrácena -Hans Arp: Č:tyřlístková hvězda, Mít zel ené tělo, Amerika, Plochý olověný mrak - Hans Magnus Enzensberger: Larisa, Manhattan Island - Karl-Hans Jakobs: Setkání, Rekviem - Ingeborg Bachmannová: Vylož mi, lásko, Plavba - Reiner Kunze: Odpověď, Prohlášeni - Hanns Cibulka: Zrnko rýže, Rozdělená Evropa - Georg Maurer: Měsíc, Vy, kdož se dnes narodíte ...		1961	4
Svetlov, Michail Arkaďjevič	"1194 Básně Michaila Světlova. Báseň „Granado"" přeložil z ruštiny Emanuel Frynta, ostatní Jan Zábrano. 1/3, str. 110-116. 1 obr. - Charakteristiko autora. Otcova píseň - Nepman - Dva - Granada - Živí hrdinové - Židovský sedlák - Z veršů o Líze Čajkino vá - Ital - Přípitek."	Russian	1956	3
Svevo, Italo	La coscienza di Zeno. Recenze s ukázkami. Vizzázn.1344.			
Svitók, Ivan	"1195 Pozůstalost revoltujíc/ho spisovatele. Recenze s ukázkami z den(ků Alberto Camuse „Cornets"" (Paris, Gollimord 1962). Ukázky přeložilo z francouzštiny Aleno Šabatková. 8/1, str. 215-232. - Fotografie A. Camuse."	French	1963	1
Svozil, Bohumil	"1196 Hra o pravdě. Recenze hry maďarského autora Lászlo Németha „Galilei"" s ukázkami. 8/3, str. 211-228. - Fotografie autora hry."		1963	3
Svozil, Bohumil	1197 Zsigmond Móricz v Knihovně klasiků. Recenze románů Tok se panstvo bav(, Příbuzní, Motýlek, Šťastný člověk. 1/4, str. 242-246.		1956	4
Swinarslci, Artur Marya	"1198 Alcestin návrat. Komedie o třech dějstvích. Z polštiny přeložil o úvodní stať „O autorovi o jeho díle"" napsal Jaroslav Langer. 5/5, str. 3S-63. 2 obr. - Fotografie autora."	Polish	1960	5
Syberberg, Riidiger	",. .. . dass diese Steine Brat werden"". Recenze s ukázkami. Viz zázn. 1440."			
Sýkorová, Tamara viz Hartmanová, Alena				
Sz:abó, Lorinc	"1199 Hudba cvrčků. (Básně.) Ukázky ze sbírek i'.>áblova arcidíla, Ty a svět, Boj za svátek, Hudba cvrčků a Po šestadvaceti letech přeložil z maďarštiny EmilVránazajazykové spolupráce Josefa Pokorného. Stať „K básním Lorince Szabó"" napsal Petr Rákos. 4/1, str. 27-31. Čtvrthod i na mezi Bohem a úřadem-Kouř z cigarety-Ve svdtek bajrám - Na lokomotiv ě - Co j eště1 - Ni kdy ne."	Hungarian	1959	1
Sz:lengel, Wladyslaw	1200 Co jsem čet/ zemřelým. (Ukázky ze stejnojmenné básnické sbírky.) S autorovým úvodním komentářem a posláním polskému čtenáři. Z polštiny přeložili Jiří Weil a Jan Zábrana. 6/5, str.146-160. 1 fot. -Redakční poznámka. Rač te zvoni t - Poplach - Telefon - V ě ci .	Polish	1961	5
Sz:ymborska, Wistawa	"1201 Sůl. (Básně.) Z polštiny přeložila Vlasta Dvořáčková.Úvod   „O Soli WisJawy Szymborské"". Vybráno z článků Ryszard Matuszewski: Pi~kna sztuka poezji - Nowa kultura 19/1963 a Aleksander Wilkón: ,.Sól"" Wislawy Szymborskiej - Twórczosé 2/1963. 9/3, str. 39-47. - Fotografie autorky. Malý oznamovatel - Na věži Babel - Chvílo v Tróji - Rubensovy feny - V Herakleitově řece - Z nevykonané výpravy do Himcílajl - Clochard - Hladový tábor u Jasla."	Polish	1957	1
Šalda, František Xaver	1202 ... dnes, kdy moderní věda .. . (Citát.) 1/5, str. 194.		1956	5
Šalda, František Xaver	1203 Již Lessing velebil snažení. .. (Citát.) 1/5, str. 137.		1956	5
Šalda, František Xaver	1204 Povšimli jste si snad toho, že skoro všecko, co v naší mladší poesii má hodnotu, ... (Citát.) 6/3, str. 227. aš-Šarkáwí, Abdarrahmán	1205 V dešti. (Povídka.) Z arabštiny přeložil Rudolf Veselý. Kresba Adolf Born. 4/3, str. 43-47. - Následuje stať Jaroslava Oliveria Arabská povídka.	1205 V dešti. (Povídka.) Z arabštiny přeložil Rudolf Veselý. Kresba Adolf Born. 4/3, str. 43-47. - Následuje stať Jaroslava Oliveria Arabská povídka.	1205 V dešti. (Povídka.) Z arabštiny přeložil Rudolf Veselý. Kresba Adolf Born. 4/3, str. 43-47. - Následuje stať Jaroslava Oliveria Arabská povídka.
Šalda, František Xaver	1205 V dešti. (Povídka.) Z arabštiny přeložil Rudolf Veselý. Kresba Adolf Born. 4/3, str. 43-47. - Následuje stať Jaroslava Oliveria Arabská povídka.	Arabic	1959	3
Šatrov, Samuil Michajlovič	1206 Klid za každou cenu. (Povídka.) Z ruštiny přeložila Stáňa Síbrtová. 4/6, str. 254--256.	Russian	1959	6
Šefner, Vadim	1207 Poezie. Z ruštiny přeložila a úvodní poznámku napsala Zdenka Bergrová. Kresba sovětského sochaře E. Něizvěstného. 6/6, str. 36-40. - Fotografie autora. Odvaha - Mladým lidem - Protiklady - N cídrafí - ~ádky na cestu - Odpo č inek na c estě - Břehy -Jarnl déšť - Podcim na řece - Eleg ie z cesty - Matná vzpomínka - Trvóní,	Russian	1961	6
Šetlík, Jiří	1208 Pařfžské bienale mladých umělců. S ukázkami vystavovaných proci (Peter Blake, Claude Lhoste, José Manuel Schmill, Nina Vidrovitsch, Horst Antes a skupinové práce italské a francouzské). 9/3, str. 153---1S8.		1964	3
Ševčenko, Taras Hryhorovyč				
Ševčenko, Taras Hryhorovyč	1209 No coby, zdálo by se slova ... - Tak tedy znovu verše psát! ... (Básně.) Z ukrajinštiny přeložila Zdenka Bergrová. 6/1, str. 98-99. - Redakční poznámka. K stému výročí úmrtí básníka.	Ukrainian	1961	1
Šim, Eduard	1210 Červená kalina. (Povídka.) Z ruštiny přeložil Jaroslav Tofel. Ilustroval Jiří Balcar. S/3, str. 64-67. - Předchází úvod Ludmily Duškové Na cestě k umění .	Russian		
Šlndeláf, Dušan	1211 K jedné literám/ sensaci. (Kniha Colina Wilsona o nemoci současného intelektuála The Outsider.) Recenze. 2/3, str. 23S-243. - Fotografie obálky recenzované knihy.		1957	3
Šlndeláf, Dušan	1212 Rockwell Kent: lťs Me O Lord. Recenze. Citace z knihy přeložila Eva Kondrysová. Kresby Rockwella Kenta. 1/S, str. 229-238. - Fotografie R. Kenta.			
Šklovskij, Viktor Borisovič	1213 Laurence Sterne. (Esej .) Z ruštiny přeložil Jan Zábrana. S/6, str. 1-36. - Obr. : Thomas Bridges a Laurence Sterne, L. Sterne v mědirytině Edwarda Fishera podle portrétu Sira Joshuy Reynoldse, reprodukce portrétu L. Sterna v akvarelu Louise Carmontela, Sternovi rodiče, Sternův rukopis, faksimile první stránky prvního vydání Tristrama Shandyho, rodinný dům Shandy Hall.	Russian		
Šklovskij, Viktor Borisovič	1214 Odysseus napfná luk - O ručnicích a mnohostupňových raketách - Mluvené slovo-Ještě o slovu-Majakovskij - Asejev - lraklij Andronikov. (Eseje.) Z ruštiny přeložila a poznámku o autorovi napsala Jiřina Zumrová. 8/2, str. 208-217. - Fotografie autora.	Russian	1963	2
Škvorecký, Josef	121S Jaká vlastně byla Marilyn? (O americké herečce Marilyn Monroeové.) 9/1, str.168-181.-Se čtyřmi fotografiemi herečky.		1964	1
Škvorecký, Josef	1216 John Braine a jin{ z rozhněvané generace. (Na okraj knih John Braine: Room at the Top a Tom Maschler: Declaration.) Recenze s ukázkami. 3/4, str.191-214.- Fotografie obálek recenzovaných knih a fotografie těchto spisovatelů: John Braine, Kingsley Amis, John Osborne, Doris Lessingová, Colin Wilson, Lindsay Anderson, John Wain, Kenneth Tynan.	1217 Literám( názory Ernesta Hemingwaye. (Rozbor.) 1 /2, str. 190-195. - Fotografie E. Hemingwaye.	1217 Literám( názory Ernesta Hemingwaye. (Rozbor.) 1 /2, str. 190-195. - Fotografie E. Hemingwaye.	1217 Literám( názory Ernesta Hemingwaye. (Rozbor.) 1 /2, str. 190-195. - Fotografie E. Hemingwaye.
Škvorecký, Josef	1218 Marnotratný syn americké prózy (Francis Scott Fitzgerald.) 9/5, str. 36-38. - Fotografie autora a rodinná fotografie Fitzgeraldovi o vánocích 1925. Následuje Fitzgeraldův román Poslední magnát.		1964	5
Škvorecký, Josef	"1219 Některé pohledy na americkou literaturu. (U příležitosti prvního českého vydání Hemingwayova „Starce a moře"" . ) 1/5, str. 179-194. - Dvě fotografie E. Hemingwaye. Ilustrace Billa Mauldina „Princ a nuzák""."		1956	5
Škvorecký, Josef	1220 Nesrozumitelný Faulkner. Ilustrační doprovod tvoří fotoportréty W. Faulknera z různých období jeho života a karikatury od D. Parrota, Arthura Hawkinse, neznámého malíře a vlastní autoportrét. 8/3, str. 140-147.		1963	3
Škvorecký, Josef	"1221 Nové mapy pekla neboli h/avnf tendence současné západní science fiction. Recenze knihy Kingsley Amise „New Maps of Hell"". 6/6, str. 223-227."		1961	6
Škvorecký, Josef	1222 Proč to byl velký vyprávěč? (O Ernestu Hemingwayovi.) 7/4, str. 26-28. - Fotografie Hemingwayova hrobu.		1962	4
Škvorecký, Josef	1223 Prostinký svět comics. (Studie o americké kreslené literatuře.) 10/6, str. 209-219. 30 obr. viz též Dorůžka, Lubomír; Jungwith, František		1965	6
Šolochov, Michail Aleksandrovič	1224 Jedna je cestička ... (Povídka.) Překlad a doslov Jarmila Fromková. Ilustroval Arnošt Paderlík. 2/5, str. 2-26. - Fotografie autora.		1957	5
Šolochov, Michail Aleksandrovič	1225 Rozrušená země li. Román. Z ruštiny přeložila a poznámkami pod čarou opatřila Květa Milcová (kapitola 1-8) a Jarmila Fromková a Jaroslav Bílý. 1/1, str. 11-83; 2/4, str. 63-79. - Podobizna autora od Arnošta Paderlíka.	Russian	1956	4
Šolochov, Michail Aleksandrovič	1226 Šolochov v Dánsku. (Interview s redaktory kodaňských listů.) Přeložila z dánštiny Božena K0llnová. 2/4, str. 254-255. - Fot ografie M. A. Šolochova.	Danish	1957	4
Šotolová, Marie	1227 Jan Drda: Horká půda . Recenze stejnojmenné knihy. 1 /1, str. 241-244.			
Špála, Václav	1228 Vztahy moráln( mají pro umění velký význam . . . (Citát.) 2/3, str. 162.		1957	3
Š'Sl-mln	1229 Kritika a diskuse musí být dále založeny na podkladě výzkumné práce. Citát z časopisu Siie-šu jiie-kchan. Přeloženo z čínštiny. 3/5, str. 76.	Chinese	1958	5
Š'Sl-mln	1230 Musíme také jasně chápat, že v oblasti vědy, kultury a uměnf... Citát z časopisu Siie-šu jiie-kchan. Přeloženo z čínštiny. 3/5, str. 149. •	Chinese	1958	5
Šťastny, A. J.	1231 Beth McHenry- F. N. Myers: Námořník Farrell. (Recenze a kritika českého překladu.) 1/5, str. 241-242.		1956	5
Šťastny, A. J.	1232 Dva romány dělnických autorů o revolučnfm hnutf. (Len Doherty: A Miner's Sons-David Lambert: He Must So Live.) Recenze s ukázkami. 2/5, str. 217-226.		1957	5
